region,hit_runs,drunk_drivers
Northern,12,12
Western,3,4
Western,78,68
Western,60,25
Eastern,19,15
Eastern,11,28
Eastern,40,27
Northern,2,12
Eastern,77,49
Western,206,94
Northern,3,9
Northern,8,25
Eastern,40,46
Eastern,145,125
Western,3,11
Western,4,13
Western,5,12
Western,126,39
Eastern,25,42
Eastern,0,0
Eastern,85,76
Northern,3,11
Eastern,80,35
Western,4,15
Western,6,21
Western,0,0
Western,0,0
Western,0,0
Western,0,0
Western,5,16
Western,0,7
Western,63,28
Western,7,17
Western,135,55
Northern,2,3
Eastern,82,59
Eastern,71,53
Eastern,0,0
Eastern,42,53
Northern,1,9
Northern,14,18
Eastern,33,27
Northern,1,12
Western,69,26
Eastern,60,47
Western,346,68
Western,67,34
Western,19,47
Northern,18,34
Northern,8,28
Eastern,99,48
Western,85,27
Western,11,29
Western,169,36
Eastern,72,70
Northern,7,10
Northern,0,0
Northern,0,0
Northern,0,0
Western,2,19
Northern,5,21
Western,21,29
Western,1,5
Western,127,30
Western,1,13
Western,1,2
Eastern,12,25
Western,6,7
Eastern,99,40
Northern,1,16
Western,9,19
Northern,6,19
Northern,0,4
Northern,11,21
Western,10,20
Eastern,22,42
Western,1,3
Eastern,56,28
Western,102,55
Northern,11,1
Western,96,60
Western,144,27
Eastern,69,81
Western,0,5
