ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,LONGITUDE,LATITUDE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME
3/07/2010,17.00.00,Yes,Collision with vehicle,REAR END(VEHICLES IN SAME LANE),No,Dusk/Dawn,Yes,Cross intersection,Other injury accident,80 km/hr,145.19512,-38.15071,FRANKSTON,METROPOLITAN SOUTH EAST REGION,7,2,0,0,2,5,4,3,0,5,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Metropolitan Excluding CBD
4/07/2010,14.07.00,No,Vehicle overturned (no collision),OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Day,Yes,Not at intersection,Other injury accident,80 km/hr,145.18767,-38.16981,FRANKSTON,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Metropolitan Excluding CBD
6/07/2010,10.10.00,No,Struck Pedestrian,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,T intersection,Fatal accident,70 km/hr,145.16454,-38.15477,FRANKSTON,METROPOLITAN SOUTH EAST REGION,4,1,1,0,0,3,1,3,0,2,1,1,0,0,0,0,0,1,0,0,No,0,1,0,1,0,0,Metropolitan Excluding CBD
9/07/2010,18.37.00,Yes,Collision with vehicle,RIGHT THROUGH,No,Dark Street lights on,Yes,Multiple intersection,Other injury accident,60 km/hr,145.13987,-38.10873,FRANKSTON,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Metropolitan Excluding CBD
9/07/2010,21.15.00,Yes,Vehicle overturned (no collision),OFF CARRIAGEWAY TO LEFT,No,Dark No street lights,Yes,Not at intersection,Other injury accident,80 km/hr,145.17873,-38.13104,FRANKSTON,METROPOLITAN SOUTH EAST REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Metropolitan Excluding CBD
9/07/2010,21.16.00,Yes,Collision with vehicle,REAR END(VEHICLES IN SAME LANE),No,Dark No street lights,Yes,Not at intersection,Other injury accident,80 km/hr,145.1796,-38.12988,FRANKSTON,METROPOLITAN SOUTH EAST REGION,3,1,0,0,1,2,2,1,0,1,2,0,0,0,0,0,0,0,0,2,No,0,2,0,2,0,0,Metropolitan Excluding CBD
9/07/2010,22.58.00,Yes,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,145.12008,-38.14532,FRANKSTON,METROPOLITAN SOUTH EAST REGION,6,3,0,0,3,3,4,0,0,4,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Metropolitan Excluding CBD
9/07/2010,15.55.00,No,Collision with vehicle,REAR END(VEHICLES IN SAME LANE),No,Day,No,Cross intersection,Other injury accident,60 km/hr,145.13146,-38.13007,FRANKSTON,METROPOLITAN SOUTH EAST REGION,3,1,0,0,1,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Metropolitan Excluding CBD
10/07/2010,17.30.00,Yes,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,50 km/hr,145.18645,-38.14845,FRANKSTON,METROPOLITAN SOUTH EAST REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Metropolitan Excluding CBD
10/07/2010,17.45.00,Yes,Struck Pedestrian,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,Yes,Dusk/Dawn,Yes,T intersection,Other injury accident,50 km/hr,145.12008,-38.14532,FRANKSTON,METROPOLITAN SOUTH EAST REGION,3,2,0,0,2,1,1,2,0,0,1,2,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Metropolitan Excluding CBD
