ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,LONGITUDE,LATITUDE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME
2/07/2010,15.10.00,No,Collision with vehicle,HEAD ON (NOT OVERTAKING),No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,143.88438,-35.71365,GANNAWARRA,NORTHERN REGION,4,3,1,1,1,1,3,1,0,2,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,Country
6/08/2010,14.15.00,No,Vehicle overturned (no collision),OFF CARRIAGEWAY TO LEFT,No,Day,No,Not at intersection,Other injury accident,100 km/hr,143.51384,-35.79624,GANNAWARRA,NORTHERN REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
3/09/2010,11.35.00,No,Collision with vehicle,LEFT REAR,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,143.95924,-35.69494,GANNAWARRA,NORTHERN REGION,4,1,0,1,0,3,4,0,0,2,1,0,0,1,0,0,0,0,0,0,No,0,2,1,0,1,0,Country
26/09/2010,14.40.00,No,Collision with a fixed object,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,143.99833,-35.54539,GANNAWARRA,NORTHERN REGION,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
3/10/2010,11.25.00,No,Collision with vehicle,LEFT FAR (INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Fatal accident,100 km/hr,143.71201,-35.49731,GANNAWARRA,NORTHERN REGION,3,1,1,0,0,2,3,0,0,1,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Country
7/10/2010,11.10.00,No,Struck Pedestrian,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Not at intersection,Fatal accident,50 km/hr,144.22267,-35.80989,GANNAWARRA,NORTHERN REGION,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,No,0,1,0,1,0,0,Other Towns
1/12/2010,21.45.00,Yes,Struck animal,STRUCK ANIMAL,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,144.21156,-35.78725,GANNAWARRA,NORTHERN REGION,2,1,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Country
2/12/2010,19.45.00,Yes,No collision and no object struck,OFF CARRIAGEWAY ON RIGHT BEND,No,Dusk/Dawn,Yes,Not at intersection,Other injury accident,100 km/hr,143.83896,-35.64916,GANNAWARRA,NORTHERN REGION,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes,1,1,0,0,1,0,Country
21/12/2010,02.30.00,Yes,Struck animal,STRUCK ANIMAL,No,Dark No street lights,No,Not at intersection,Other injury accident,100 km/hr,143.93714,-35.78159,GANNAWARRA,NORTHERN REGION,2,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
26/12/2010,15.40.00,No,Collision with vehicle,U TURN,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,143.94442,-35.89569,GANNAWARRA,NORTHERN REGION,4,1,0,0,1,3,3,1,0,2,2,0,0,0,0,0,0,0,0,2,No,0,2,0,2,0,0,Country
31/12/2010,21.50.00,Yes,Collision with a fixed object,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,50 km/hr,144.22484,-35.80624,GANNAWARRA,NORTHERN REGION,2,2,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Other Towns
19/03/2011,12.00.00,No,Fall from or in moving vehicle,FELL IN/FROM VEHICLE,No,Day,No,Cross intersection,Serious injury accident,50 km/hr,144.21954,-35.80894,GANNAWARRA,NORTHERN REGION,2,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,1,0,0,0,Other Towns
20/03/2011,17.36.00,Yes,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,50 km/hr,143.91783,-35.73656,GANNAWARRA,NORTHERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Yes,0,1,0,1,0,0,Other Towns
