ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,LONGITUDE,LATITUDE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME
13/07/2010,17.05.00,No,Collision with vehicle,RIGHT NEAR (INTERSECTIONS ONLY),No,Dusk/Dawn,Yes,T intersection,Serious injury accident,100 km/hr,146.80228,-36.27689,INDIGO,NORTH EASTERN REGION,6,6,0,3,3,0,1,5,0,4,2,0,0,0,0,0,0,0,0,2,No,0,2,0,2,0,0,Country
7/08/2010,13.00.00,No,Collision with vehicle,OTHER OVERTAKING MANOEUVRES NOT INCLUDED IN DCAs 150-154,Yes,Day,No,Not at intersection,Other injury accident,Not known,146.88133,-36.3731,INDIGO,NORTH EASTERN REGION,2,1,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,No,0,2,0,0,2,0,Country
18/08/2010,15.15.00,No,Collision with a fixed object,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,146.66326,-36.31738,INDIGO,NORTH EASTERN REGION,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Country
20/09/2010,01.15.00,Yes,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Fatal accident,100 km/hr,146.21279,-36.07073,INDIGO,NORTH EASTERN REGION,2,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
24/09/2010,09.55.00,No,Collision with a fixed object,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,147.05886,-36.31333,INDIGO,NORTH EASTERN REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
13/10/2010,14.35.00,No,Collision with a fixed object,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,110 km/hr,146.67794,-36.10925,INDIGO,NORTH EASTERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
13/10/2010,19.30.00,Yes,Collision with a fixed object,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Fatal accident,100 km/hr,146.69701,-36.31914,INDIGO,NORTH EASTERN REGION,2,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
8/11/2010,00.07.00,Yes,collision with some other object,STRUCK OBJECT ON CARRIAGEWAY,No,Dark No street lights,Yes,Not at intersection,Other injury accident,100 km/hr,146.93301,-36.24557,INDIGO,NORTH EASTERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
20/11/2010,00.10.00,Yes,Collision with a fixed object,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,146.60775,-36.10365,INDIGO,NORTH EASTERN REGION,2,1,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
16/12/2010,09.00.00,No,Vehicle overturned (no collision),OFF CARRIAGEWAY TO LEFT,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,146.80213,-36.27698,INDIGO,NORTH EASTERN REGION,2,2,0,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Country
20/12/2010,05.30.00,Yes,collision with some other object,STRUCK OBJECT ON CARRIAGEWAY,No,Dusk/Dawn,Yes,Not at intersection,Other injury accident,100 km/hr,146.64225,-36.2578,INDIGO,NORTH EASTERN REGION,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Country
26/02/2011,18.30.00,Yes,Vehicle overturned (no collision),OUT OF CONTROL ON CARRIAGEWAY (ON BEND),No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,146.66649,-36.31482,INDIGO,NORTH EASTERN REGION,2,1,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
3/03/2011,23.00.00,Yes,No collision and no object struck,OFF CARRIAGEWAY TO LEFT,No,Dark No street lights,Yes,Cross intersection,Other injury accident,40 km/hr,146.99025,-36.23415,INDIGO,NORTH EASTERN REGION,2,2,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
12/03/2011,20.37.00,Yes,Struck animal,STRUCK ANIMAL,No,Dark No street lights,No,Not at intersection,Other injury accident,80 km/hr,146.41776,-36.04013,INDIGO,NORTH EASTERN REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
24/03/2011,08.45.00,No,Collision with a fixed object,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,146.61649,-36.06263,INDIGO,NORTH EASTERN REGION,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
27/03/2011,12.30.00,No,Vehicle overturned (no collision),OUT OF CONTROL ON CARRIAGEWAY (ON BEND),No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,146.5793,-36.31792,INDIGO,NORTH EASTERN REGION,5,1,0,0,1,4,4,1,0,4,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
11/04/2011,17.00.00,No,Collision with vehicle,RIGHT REAR.,No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,146.6822,-36.3655,INDIGO,NORTH EASTERN REGION,3,1,0,0,1,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
21/04/2011,08.30.00,No,Collision with a fixed object,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,146.60903,-36.10974,INDIGO,NORTH EASTERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
27/04/2011,13.10.00,No,Collision with vehicle,LANE CHANGE RIGHT (NOT OVERTAKING),No,Day,Yes,Not at intersection,Serious injury accident,110 km/hr,146.55643,-36.16504,INDIGO,NORTH EASTERN REGION,3,1,0,1,0,2,2,0,0,1,2,0,0,0,0,0,0,0,1,1,No,0,2,0,2,0,0,Country
29/04/2011,17.10.00,Yes,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dusk/Dawn,Yes,Cross intersection,Serious injury accident,60 km/hr,146.45509,-36.05234,INDIGO,NORTH EASTERN REGION,2,1,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,Other Towns
3/05/2011,18.30.00,Yes,No collision and no object struck,OFF CARRIAGEWAY TO LEFT,No,Dark No street lights,Yes,Not at intersection,Other injury accident,100 km/hr,146.6795,-36.31687,INDIGO,NORTH EASTERN REGION,2,1,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
5/05/2011,12.45.00,No,Vehicle overturned (no collision),OFF CARRIAGEWAY ON LEFT BEND,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,146.55156,-36.12814,INDIGO,NORTH EASTERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
