ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,LONGITUDE,LATITUDE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME
1/07/2010,16.25.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dusk/Dawn,Yes,Cross intersection,Other injury accident,60 km/hr,146.53371,-38.19293,LATROBE,EASTERN REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Small Provincial Cities
1/07/2010,16.30.00,No,Collision with vehicle,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,50 km/hr,146.41853,-38.22259,LATROBE,EASTERN REGION,6,5,0,0,5,1,3,3,0,4,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Small Provincial Cities
15/07/2010,09.00.00,No,Collision with vehicle,RIGHT REAR.,No,Day,Yes,T intersection,Other injury accident,80 km/hr,146.31814,-38.17328,LATROBE,EASTERN REGION,2,2,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Country
18/07/2010,14.05.00,No,Collision with vehicle,RIGHT THROUGH,No,Day,Yes,T intersection,Other injury accident,80 km/hr,146.42663,-38.236,LATROBE,EASTERN REGION,3,1,0,0,1,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Small Provincial Cities
18/07/2010,16.48.00,Yes,Collision with a fixed object,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Yes,Not at intersection,Other injury accident,100 km/hr,146.41729,-38.21181,LATROBE,EASTERN REGION,3,1,0,0,1,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,No,0,3,0,2,1,0,Country
19/07/2010,13.00.00,No,Collision with vehicle,U TURN,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,146.35449,-38.16943,LATROBE,EASTERN REGION,3,1,0,0,1,2,2,1,0,1,1,0,0,1,0,0,0,0,0,1,No,0,2,0,1,1,0,Country
19/07/2010,14.00.00,No,Collision with vehicle,OTHER ADJACENT (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Serious injury accident,80 km/hr,146.27193,-38.16334,LATROBE,EASTERN REGION,5,5,0,2,3,0,2,3,0,3,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Country
26/07/2010,13.34.00,No,Struck Pedestrian,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,146.2582,-38.17668,LATROBE,EASTERN REGION,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,No,0,1,0,1,0,0,Small Provincial Cities
27/07/2010,14.14.00,No,Collision with vehicle,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,146.28777,-38.1754,LATROBE,EASTERN REGION,3,2,0,0,2,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Small Provincial Cities
27/07/2010,14.40.00,No,Collision with vehicle,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,100 km/hr,146.50543,-38.15219,LATROBE,EASTERN REGION,6,4,0,0,4,2,0,6,0,4,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Country
27/07/2010,16.00.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,No,Cross intersection,Other injury accident,50 km/hr,146.42262,-38.2283,LATROBE,EASTERN REGION,3,1,0,0,1,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Small Provincial Cities
4/08/2010,08.30.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,146.39684,-38.24111,LATROBE,EASTERN REGION,5,2,0,0,2,3,1,4,0,3,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Small Provincial Cities
6/08/2010,15.40.00,No,Collision with vehicle,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,146.41925,-38.31175,LATROBE,EASTERN REGION,3,1,0,0,1,2,1,2,1,1,1,0,0,0,0,1,0,0,0,0,No,0,2,0,1,0,0,Other Towns
6/08/2010,22.25.00,Yes,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,100 km/hr,146.44699,-38.20299,LATROBE,EASTERN REGION,4,3,0,0,3,1,1,3,0,3,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
7/08/2010,10.40.00,No,Collision with vehicle,REVERSING IN STREAM OF TRAFFIC,No,Day,Yes,Cross intersection,Serious injury accident,60 km/hr,146.5146,-38.19549,LATROBE,EASTERN REGION,2,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,Small Provincial Cities
7/08/2010,10.28.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Fatal accident,80 km/hr,146.55243,-38.1922,LATROBE,EASTERN REGION,6,2,1,0,1,4,5,1,0,4,2,0,0,0,0,0,0,0,1,1,No,0,2,1,1,0,0,Small Provincial Cities
8/08/2010,07.40.00,Yes,Collision with vehicle,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,146.41516,-38.2228,LATROBE,EASTERN REGION,3,1,0,0,1,2,2,1,0,1,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Small Provincial Cities
13/08/2010,14.30.00,No,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,No,Not at intersection,Other injury accident,80 km/hr,146.26198,-38.16055,LATROBE,EASTERN REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,No,0,1,0,1,0,0,Country
13/08/2010,11.55.00,No,Struck Pedestrian,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,No,Day,Yes,Not at intersection,Serious injury accident,110 km/hr,146.24736,-38.18569,LATROBE,EASTERN REGION,6,1,0,1,0,5,4,2,0,2,3,1,0,0,0,0,0,0,0,2,No,0,4,1,3,0,0,Small Provincial Cities
14/08/2010,11.30.00,No,Collision with vehicle,RIGHT REAR.,No,Day,Yes,T intersection,Serious injury accident,80 km/hr,146.56196,-38.18386,LATROBE,EASTERN REGION,5,3,0,1,2,2,4,1,0,2,3,0,0,0,0,0,0,0,0,1,Yes,0,3,0,3,0,0,Small Provincial Cities
15/08/2010,21.45.00,Yes,Collision with vehicle,LEFT TURN SIDESWIPE,Yes,Dark Street lights on,Yes,Not at intersection,Other injury accident,60 km/hr,146.4207,-38.21719,LATROBE,EASTERN REGION,3,1,0,0,1,2,2,1,0,1,1,0,0,1,0,0,0,0,0,0,No,1,2,0,1,1,0,Small Provincial Cities
15/08/2010,14.20.00,No,Struck Pedestrian,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,Yes,Day,Yes,Not at intersection,Other injury accident,Not known,146.24205,-38.18602,LATROBE,EASTERN REGION,2,2,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Small Provincial Cities
17/08/2010,12.50.00,No,Struck Pedestrian,PED ON FOOTHPATH STRUCK BY VEHENTERING/LEAVING DRIVEWAY.,No,Day,Yes,T intersection,Serious injury accident,50 km/hr,146.54285,-38.19929,LATROBE,EASTERN REGION,2,1,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,No,0,1,0,1,0,0,Small Provincial Cities
18/08/2010,16.35.00,No,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,70 km/hr,146.249,-38.18048,LATROBE,EASTERN REGION,2,2,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Small Provincial Cities
23/08/2010,08.00.00,No,Struck Pedestrian,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,No,Day,No,Not at intersection,Serious injury accident,50 km/hr,146.39819,-38.23667,LATROBE,EASTERN REGION,2,1,0,1,0,1,0,2,0,0,1,1,0,0,0,0,1,0,0,0,No,0,1,0,1,0,0,Small Provincial Cities
23/08/2010,09.55.00,No,Collision with vehicle,ENTERING PARKING,No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,146.25814,-38.17764,LATROBE,EASTERN REGION,3,2,0,0,2,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,Small Provincial Cities
