ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,LONGITUDE,LATITUDE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME
7/07/2010,18.25.00,Yes,Collision with vehicle,REAR END(VEHICLES IN SAME LANE),No,Dark No street lights,Yes,Not at intersection,Serious injury accident,110 km/hr,144.55014,-37.35573,MACEDON RANGES,NORTHERN REGION,3,2,0,2,0,1,1,2,0,1,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Country
8/07/2010,11.29.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Serious injury accident,100 km/hr,144.59781,-37.28135,MACEDON RANGES,NORTHERN REGION,9,1,0,1,0,8,4,5,0,7,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Country
16/07/2010,18.30.00,Yes,Vehicle overturned (no collision),OFF CARRIAGEWAY ON RIGHT BEND,No,Dark No street lights,Yes,Not at intersection,Other injury accident,100 km/hr,144.68906,-37.25444,MACEDON RANGES,NORTHERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
18/07/2010,02.00.00,Yes,Fall from or in moving vehicle,FELL IN/FROM VEHICLE,No,Dark Street lights on,No,Not at intersection,Other injury accident,50 km/hr,144.45158,-37.24429,MACEDON RANGES,NORTHERN REGION,3,1,0,0,1,2,1,2,0,2,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Other Towns
18/07/2010,11.00.00,No,No collision and no object struck,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Day,No,Not at intersection,Other injury accident,Not known,144.60944,-37.24324,MACEDON RANGES,NORTHERN REGION,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Country
20/07/2010,07.35.00,No,Collision with vehicle,LEFT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,90 km/hr,144.5592,-37.43177,MACEDON RANGES,NORTHERN REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Country
21/07/2010,05.30.00,Yes,Vehicle overturned (no collision),OFF CARRIAGEWAY ON RIGHT BEND,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,144.78948,-37.28972,MACEDON RANGES,NORTHERN REGION,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
22/07/2010,14.45.00,No,Collision with vehicle,LEFT REAR,No,Day,No,Multiple intersection,Other injury accident,60 km/hr,144.46991,-37.25676,MACEDON RANGES,NORTHERN REGION,2,1,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
24/07/2010,13.00.00,No,No collision and no object struck,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),No,Day,No,Not at intersection,Serious injury accident,Not known,144.41215,-37.44443,MACEDON RANGES,NORTHERN REGION,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Country
24/07/2010,08.55.00,No,Collision with vehicle,LEFT REAR,No,Day,No,Y intersection,Other injury accident,100 km/hr,144.74904,-37.41323,MACEDON RANGES,NORTHERN REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Country
25/07/2010,01.35.00,Yes,Collision with a fixed object,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,144.81831,-37.29889,MACEDON RANGES,NORTHERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Yes,0,1,0,1,0,0,Country
30/07/2010,17.40.00,Yes,Collision with vehicle,LEFT REAR,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,144.74723,-37.38531,MACEDON RANGES,NORTHERN REGION,3,3,0,0,3,0,2,1,0,1,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Country
10/08/2010,12.15.00,No,Vehicle overturned (no collision),OFF CARRIAGEWAY TO RIGHT,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,144.67636,-37.32748,MACEDON RANGES,NORTHERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
16/08/2010,12.20.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,144.45448,-37.24258,MACEDON RANGES,NORTHERN REGION,3,2,0,0,2,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
19/08/2010,17.55.00,No,Collision with vehicle,RIGHT THROUGH,No,Dark No street lights,Yes,T intersection,Other injury accident,70 km/hr,144.59457,-37.46916,MACEDON RANGES,NORTHERN REGION,2,2,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,No,0,2,0,2,0,0,Other Towns
26/08/2010,07.15.00,No,Collision with vehicle,LANE CHANGE RIGHT (NOT OVERTAKING),No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,144.47415,-37.26573,MACEDON RANGES,NORTHERN REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,Country
31/08/2010,09.45.00,No,Collision with a fixed object,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,144.58528,-37.28196,MACEDON RANGES,NORTHERN REGION,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
31/08/2010,20.40.00,Yes,Vehicle overturned (no collision),OFF CARRIAGEWAY TO RIGHT,No,Dark No street lights,Yes,Not at intersection,Other injury accident,60 km/hr,144.68502,-37.4639,MACEDON RANGES,NORTHERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Other Towns
4/09/2010,12.00.00,No,Collision with a fixed object,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,144.57804,-37.34794,MACEDON RANGES,NORTHERN REGION,2,2,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
7/09/2010,03.30.00,Yes,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,144.47464,-37.53411,MACEDON RANGES,NORTHERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
7/09/2010,15.45.00,No,Collision with vehicle,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,70 km/hr,144.67218,-37.46556,MACEDON RANGES,NORTHERN REGION,2,2,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Other Towns
16/09/2010,19.15.00,Yes,Vehicle overturned (no collision),OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Dusk/Dawn,No,Not at intersection,Serious injury accident,Not known,144.5866,-37.51379,MACEDON RANGES,NORTHERN REGION,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Country
17/09/2010,17.30.00,Yes,Collision with a fixed object,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,No,Not at intersection,Other injury accident,100 km/hr,144.63616,-37.42286,MACEDON RANGES,NORTHERN REGION,2,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
18/09/2010,11.20.00,No,Collision with vehicle,RIGHT REAR.,No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,144.59112,-37.48834,MACEDON RANGES,NORTHERN REGION,4,3,0,0,3,1,2,2,0,2,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
27/09/2010,09.30.00,No,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,No,Not at intersection,Serious injury accident,100 km/hr,144.71755,-37.37371,MACEDON RANGES,NORTHERN REGION,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
2/10/2010,15.35.00,Yes,No collision and no object struck,OFF CARRIAGEWAY ON RIGHT BEND,No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,144.59894,-37.37312,MACEDON RANGES,NORTHERN REGION,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Country
6/10/2010,13.10.00,No,Collision with a fixed object,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,144.63838,-37.35264,MACEDON RANGES,NORTHERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
12/10/2010,06.15.00,No,Collision with vehicle,HEAD ON (NOT OVERTAKING),No,Dusk/Dawn,Yes,Not at intersection,Serious injury accident,100 km/hr,144.71691,-37.11092,MACEDON RANGES,NORTHERN REGION,3,3,0,2,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Country
14/10/2010,06.10.00,No,Collision with vehicle,RIGHT NEAR (INTERSECTIONS ONLY),No,Dusk/Dawn,Yes,T intersection,Other injury accident,80 km/hr,144.67218,-37.46556,MACEDON RANGES,NORTHERN REGION,2,1,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Other Towns
20/10/2010,11.20.00,No,Struck animal,STRUCK ANIMAL,No,Day,No,Not at intersection,Other injury accident,60 km/hr,144.52755,-37.36262,MACEDON RANGES,NORTHERN REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Other Towns
22/10/2010,08.15.00,No,Collision with vehicle,U TURN,No,Day,Yes,Cross intersection,Other injury accident,90 km/hr,144.5592,-37.43177,MACEDON RANGES,NORTHERN REGION,3,2,0,0,2,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Country
22/10/2010,15.50.00,No,Collision with vehicle,RIGHT THROUGH,No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,144.73671,-37.27748,MACEDON RANGES,NORTHERN REGION,3,3,0,0,3,0,1,2,0,1,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Other Towns
24/10/2010,15.00.00,No,Collision with a fixed object,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,110 km/hr,144.63079,-37.52812,MACEDON RANGES,NORTHERN REGION,9,9,0,9,0,0,6,3,0,8,1,0,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,Country
26/10/2010,12.50.00,No,Vehicle overturned (no collision),OFF CARRIAGEWAY ON RIGHT BEND,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,144.74455,-37.46567,MACEDON RANGES,NORTHERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
27/10/2010,14.30.00,No,Collision with a fixed object,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,No,Not at intersection,Other injury accident,100 km/hr,144.69632,-37.37108,MACEDON RANGES,NORTHERN REGION,2,2,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
30/10/2010,12.30.00,No,Collision with vehicle,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,90 km/hr,144.54325,-37.41334,MACEDON RANGES,NORTHERN REGION,4,1,0,0,1,3,2,2,0,2,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Country
1/11/2010,12.35.00,No,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,144.46423,-37.43484,MACEDON RANGES,NORTHERN REGION,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Country
3/11/2010,10.25.00,No,Collision with vehicle,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,100 km/hr,144.44648,-37.28607,MACEDON RANGES,NORTHERN REGION,2,1,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Country
3/11/2010,18.20.00,Yes,Struck Pedestrian,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.,No,Day,Yes,Not at intersection,Serious injury accident,50 km/hr,144.44484,-37.24147,MACEDON RANGES,NORTHERN REGION,2,1,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,Other Towns
3/11/2010,18.34.00,Yes,Struck Pedestrian,PED WALKING WITH TRAFFIC,No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,144.44484,-37.24147,MACEDON RANGES,NORTHERN REGION,3,1,0,0,1,2,0,3,0,1,1,1,0,0,0,0,1,0,0,0,No,0,1,0,1,0,0,Other Towns
6/11/2010,12.00.00,No,collision with some other object,STRUCK OBJECT ON CARRIAGEWAY,No,Day,No,Not at intersection,Other injury accident,100 km/hr,144.61923,-37.24753,MACEDON RANGES,NORTHERN REGION,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Country
15/11/2010,15.10.00,No,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,144.69905,-37.36452,MACEDON RANGES,NORTHERN REGION,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
15/11/2010,06.45.00,No,Struck Pedestrian,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,Yes,Day,No,Cross intersection,Other injury accident,50 km/hr,144.73509,-37.27708,MACEDON RANGES,NORTHERN REGION,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Other Towns
16/11/2010,06.45.00,No,Collision with vehicle,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,No,Day,No,Not at intersection,Other injury accident,80 km/hr,144.58086,-37.43168,MACEDON RANGES,NORTHERN REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,No,0,2,0,1,0,0,Other Towns
18/11/2010,15.25.00,No,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,144.47358,-37.19107,MACEDON RANGES,NORTHERN REGION,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
20/11/2010,14.10.00,Yes,Collision with a fixed object,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Not known,Day,Yes,Not at intersection,Other injury accident,100 km/hr,144.69274,-37.42758,MACEDON RANGES,NORTHERN REGION,5,3,0,0,3,2,0,4,0,3,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Country
21/11/2010,01.30.00,Yes,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,144.47977,-37.25598,MACEDON RANGES,NORTHERN REGION,2,2,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
24/11/2010,23.20.00,Yes,Collision with a fixed object,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,144.71923,-37.427,MACEDON RANGES,NORTHERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,1,0,0,0,Country
28/11/2010,01.30.00,Yes,collision with some other object,STRUCK OBJECT ON CARRIAGEWAY,No,Dark No street lights,Yes,Not at intersection,Other injury accident,100 km/hr,144.62265,-37.31685,MACEDON RANGES,NORTHERN REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
