ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,LONGITUDE,LATITUDE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME
1/07/2010,18.15.00,Yes,Collision with vehicle,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,60 km/hr,144.43995,-37.66279,MOORABOOL,WESTERN REGION,8,2,0,1,1,6,6,2,0,4,4,0,0,0,0,0,0,0,0,2,No,0,4,0,4,0,0,Small Provincial Cities
15/07/2010,21.11.00,Yes,Collision with a fixed object,OFF END OF ROAD/T-INTERSECTION.,No,Dark No street lights,Yes,T intersection,Serious injury accident,100 km/hr,144.41545,-37.66398,MOORABOOL,WESTERN REGION,2,2,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
17/07/2010,16.15.00,Yes,No collision and no object struck,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Day,Yes,Cross intersection,Serious injury accident,60 km/hr,144.41883,-37.66855,MOORABOOL,WESTERN REGION,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Small Provincial Cities
18/07/2010,15.12.00,No,No collision and no object struck,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),No,Day,Yes,Not at intersection,Other injury accident,80 km/hr,144.30258,-37.54675,MOORABOOL,WESTERN REGION,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Country
19/07/2010,18.15.00,Yes,Collision with vehicle,REAR END(VEHICLES IN SAME LANE),No,Dark No street lights,Yes,Not at intersection,Fatal accident,110 km/hr,144.32933,-37.61256,MOORABOOL,WESTERN REGION,4,2,1,1,0,2,2,2,0,1,3,0,0,0,0,0,0,0,0,2,No,1,3,0,3,0,0,Country
25/07/2010,22.08.00,Yes,Collision with vehicle,REAR END(VEHICLES IN SAME LANE),Yes,Dark Street lights on,Yes,Not at intersection,Serious injury accident,60 km/hr,144.43418,-37.68253,MOORABOOL,WESTERN REGION,2,2,0,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,Yes,1,2,0,2,0,0,Small Provincial Cities
29/07/2010,15.56.00,No,Vehicle overturned (no collision),OFF CARRIAGEWAY TO LEFT,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,144.46952,-37.62062,MOORABOOL,WESTERN REGION,2,2,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,Country
11/08/2010,17.50.00,No,Collision with a fixed object,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,110 km/hr,144.06947,-37.55175,MOORABOOL,WESTERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
18/08/2010,19.40.00,Yes,Collision with vehicle,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,No,Dark No street lights,Yes,Not at intersection,Other injury accident,100 km/hr,144.46348,-37.59424,MOORABOOL,WESTERN REGION,6,2,0,0,2,4,2,4,0,4,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Country
1/09/2010,09.15.00,No,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,80 km/hr,144.49839,-37.68237,MOORABOOL,WESTERN REGION,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Small Towns
