ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,LONGITUDE,LATITUDE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME
18/09/2010,20.10.00,Yes,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,50 km/hr,144.61379,-38.28935,QUEENSCLIFFE,SOUTH WESTERN REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Other Towns
26/10/2010,16.45.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,144.61872,-38.27514,QUEENSCLIFFE,SOUTH WESTERN REGION,3,1,0,0,1,2,2,1,0,0,3,0,0,0,0,0,0,0,1,0,No,0,3,0,2,0,1,Other Towns
30/03/2011,09.35.00,No,Collision with vehicle,U TURN,No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,144.65684,-38.27014,QUEENSCLIFFE,SOUTH WESTERN REGION,2,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,No,0,2,0,1,1,0,Other Towns
31/12/2011,11.10.00,No,No collision and no object struck,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Day,Yes,Not at intersection,Serious injury accident,50 km/hr,144.61223,-38.28941,QUEENSCLIFFE,SOUTH WESTERN REGION,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Other Towns
7/04/2012,16.45.00,Yes,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Serious injury accident,50 km/hr,144.61218,-38.2761,QUEENSCLIFFE,SOUTH WESTERN REGION,2,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,No,0,2,0,1,0,0,Other Towns
15/11/2012,10.59.00,No,Collision with a fixed object,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Fatal accident,50 km/hr,144.61536,-38.28112,QUEENSCLIFFE,SOUTH WESTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Other Towns
16/06/2013,01.40.00,Yes,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Cross intersection,Serious injury accident,50 km/hr,144.65502,-38.26953,QUEENSCLIFFE,SOUTH WESTERN REGION,2,2,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Other Towns
21/11/2013,16.00.00,No,Struck Pedestrian,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,144.6618,-38.26624,QUEENSCLIFFE,SOUTH WESTERN REGION,3,1,0,0,1,2,1,2,0,1,1,1,0,0,0,0,0,1,0,0,No,0,1,0,1,0,0,Other Towns
25/11/2013,16.15.00,No,Struck Pedestrian,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,Yes,Day,No,T intersection,Other injury accident,40 km/hr,144.61444,-38.28691,QUEENSCLIFFE,SOUTH WESTERN REGION,2,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,No,0,1,0,0,0,0,Other Towns
13/01/2014,14.55.00,No,Collision with vehicle,U TURN,No,Day,Yes,Not at intersection,Serious injury accident,50 km/hr,144.66159,-38.26662,QUEENSCLIFFE,SOUTH WESTERN REGION,3,2,0,1,1,1,2,1,0,0,1,0,1,1,0,0,0,0,0,1,No,0,2,0,1,1,0,Other Towns
