ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,LONGITUDE,LATITUDE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME
2/07/2010,13.00.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Serious injury accident,50 km/hr,143.97097,-38.54128,SURF COAST,SOUTH WESTERN REGION,3,1,0,1,0,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
6/07/2010,16.10.00,No,Collision with vehicle,REAR END(VEHICLES IN SAME LANE),No,Day,No,Not at intersection,Other injury accident,60 km/hr,144.12056,-38.44113,SURF COAST,SOUTH WESTERN REGION,3,2,0,0,2,1,2,1,0,1,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Country
10/07/2010,05.28.00,Yes,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,144.22365,-38.21199,SURF COAST,SOUTH WESTERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Country
10/07/2010,12.35.00,No,Collision with a fixed object,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,90 km/hr,144.23725,-38.17123,SURF COAST,SOUTH WESTERN REGION,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Country
19/07/2010,06.30.00,No,Collision with a fixed object,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,No,Not at intersection,Other injury accident,100 km/hr,143.90607,-38.44262,SURF COAST,SOUTH WESTERN REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
22/07/2010,08.30.00,No,Collision with a fixed object,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,80 km/hr,143.97038,-38.51214,SURF COAST,SOUTH WESTERN REGION,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
31/07/2010,13.02.00,No,Struck Pedestrian,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,143.97541,-38.54198,SURF COAST,SOUTH WESTERN REGION,2,2,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,Other Towns
2/08/2010,18.13.00,Yes,Collision with vehicle,ACCIDENT OR BROKEN DOWN,No,Dark No street lights,Yes,Not at intersection,Fatal accident,80 km/hr,144.33943,-38.31006,SURF COAST,SOUTH WESTERN REGION,2,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,No,0,2,0,1,0,0,Small Provincial Cities
5/08/2010,17.50.00,No,Collision with vehicle,U TURN,No,Dusk/Dawn,Yes,Not at intersection,Serious injury accident,100 km/hr,144.23333,-38.22186,SURF COAST,SOUTH WESTERN REGION,3,1,0,1,0,2,1,2,0,1,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,Country
7/08/2010,06.30.00,Yes,Struck Pedestrian,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dark Street lights on,Yes,T intersection,Serious injury accident,60 km/hr,144.30697,-38.34295,SURF COAST,SOUTH WESTERN REGION,2,2,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,Small Provincial Cities
