ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,LONGITUDE,LATITUDE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME
1/07/2010,12.25.00,No,Struck Pedestrian,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,143.55858,-35.34072,SWAN HILL,NORTHERN REGION,2,1,0,0,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Other Towns
13/07/2010,07.50.00,No,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,143.51343,-35.43222,SWAN HILL,NORTHERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
13/07/2010,14.50.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,143.5551,-35.33927,SWAN HILL,NORTHERN REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
26/07/2010,14.36.00,No,Collision with vehicle,LEFT TURN SIDESWIPE,No,Day,Yes,Cross intersection,Serious injury accident,100 km/hr,143.56227,-35.37591,SWAN HILL,NORTHERN REGION,2,1,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,2,0,0,0,Country
5/08/2010,09.45.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,142.88285,-35.05456,SWAN HILL,NORTHERN REGION,2,2,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Small Towns
11/08/2010,06.50.00,No,Collision with vehicle,RIGHT NEAR (INTERSECTIONS ONLY),No,Dusk/Dawn,Yes,T intersection,Other injury accident,100 km/hr,143.48136,-35.237,SWAN HILL,NORTHERN REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Country
21/10/2010,12.50.00,No,Vehicle overturned (no collision),OFF CARRIAGEWAY TO RIGHT,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,143.27562,-34.88234,SWAN HILL,NORTHERN REGION,2,2,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
13/11/2010,17.40.00,Yes,Collision with a fixed object,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,No,Day,Yes,T intersection,Other injury accident,60 km/hr,143.556,-35.33338,SWAN HILL,NORTHERN REGION,4,1,0,0,1,3,1,3,0,3,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Other Towns
28/11/2010,16.05.00,Yes,Fall from or in moving vehicle,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,142.96518,-34.71945,SWAN HILL,NORTHERN REGION,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Country
2/12/2010,11.00.00,No,Struck Pedestrian,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,Yes,Day,No,T intersection,Other injury accident,60 km/hr,143.56152,-35.34054,SWAN HILL,NORTHERN REGION,2,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Other Towns
3/12/2010,09.30.00,No,Struck Pedestrian,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,No,Not at intersection,Other injury accident,50 km/hr,143.55893,-35.34197,SWAN HILL,NORTHERN REGION,2,1,0,0,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Other Towns
13/12/2010,10.30.00,No,Collision with vehicle,HEAD ON (NOT OVERTAKING),No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,143.29607,-35.00128,SWAN HILL,NORTHERN REGION,2,1,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,1,1,0,0,Country
13/12/2010,15.50.00,No,Collision with vehicle,RIGHT REAR.,No,Day,Yes,T intersection,Other injury accident,80 km/hr,143.55011,-35.32102,SWAN HILL,NORTHERN REGION,2,1,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,No,1,2,0,2,0,0,Country
14/12/2010,21.12.00,Yes,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights on,Yes,Cross intersection,Serious injury accident,50 km/hr,142.77651,-34.58663,SWAN HILL,NORTHERN REGION,5,4,0,2,2,1,2,3,0,3,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
21/12/2010,15.55.00,No,Collision with vehicle,PULLING OUT (OVERTAKING),No,Day,Yes,Cross intersection,Other injury accident,100 km/hr,143.3063,-35.42633,SWAN HILL,NORTHERN REGION,2,1,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,1,1,0,0,Country
4/01/2011,13.54.00,No,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Cross intersection,Serious injury accident,100 km/hr,143.31815,-35.41457,SWAN HILL,NORTHERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
16/01/2011,15.24.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,142.77618,-34.58686,SWAN HILL,NORTHERN REGION,7,2,0,0,2,5,1,6,0,5,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
20/01/2011,17.00.00,No,Collision with vehicle,RIGHT THROUGH,No,Day,Yes,T intersection,Serious injury accident,100 km/hr,142.79866,-34.61409,SWAN HILL,NORTHERN REGION,11,4,0,1,3,7,3,5,0,9,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Country
23/01/2011,10.55.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Serious injury accident,50 km/hr,142.77651,-34.58663,SWAN HILL,NORTHERN REGION,5,2,0,1,1,3,2,3,0,3,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
20/02/2011,01.30.00,Yes,Collision with a fixed object,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,No,Not at intersection,Other injury accident,60 km/hr,143.62253,-35.4681,SWAN HILL,NORTHERN REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Country
27/02/2011,13.35.00,No,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,143.56596,-35.38331,SWAN HILL,NORTHERN REGION,2,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
1/03/2011,18.25.00,Yes,Collision with vehicle,RIGHT THROUGH,No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,143.54207,-35.33381,SWAN HILL,NORTHERN REGION,3,2,0,0,2,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
25/03/2011,15.15.00,No,Collision with vehicle,LANE CHANGE RIGHT (NOT OVERTAKING),No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,143.55518,-35.33956,SWAN HILL,NORTHERN REGION,3,2,0,0,2,1,1,2,0,0,3,0,0,0,0,0,0,0,1,0,No,0,3,0,3,0,0,Other Towns
27/03/2011,13.45.00,No,Collision with vehicle,HEAD ON(OVERTAKING),No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,143.54213,-35.33336,SWAN HILL,NORTHERN REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
9/04/2011,20.11.00,Yes,Collision with vehicle,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Dark Street lights off,Yes,Cross intersection,Serious injury accident,50 km/hr,143.5574,-35.33669,SWAN HILL,NORTHERN REGION,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,Other Towns
22/04/2011,22.30.00,Yes,Vehicle overturned (no collision),OFF CARRIAGEWAY ON LEFT BEND,No,Dark No street lights,Yes,Not at intersection,Fatal accident,100 km/hr,142.71658,-34.69133,SWAN HILL,NORTHERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
5/05/2011,16.00.00,No,Collision with vehicle,REAR END(VEHICLES IN SAME LANE),No,Day,No,Not at intersection,Other injury accident,50 km/hr,143.55789,-35.33828,SWAN HILL,NORTHERN REGION,2,1,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
16/05/2011,08.35.00,No,Struck Pedestrian,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Not at intersection,Serious injury accident,40 km/hr,143.5456,-35.3304,SWAN HILL,NORTHERN REGION,2,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,No,0,1,0,1,0,0,Other Towns
2/06/2011,17.20.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dusk/Dawn,Yes,Cross intersection,Other injury accident,50 km/hr,143.5509,-35.34249,SWAN HILL,NORTHERN REGION,5,2,0,0,2,3,4,1,0,3,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
8/06/2011,08.24.00,No,Collision with vehicle,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,Not known,Unk.,Not known,Not at intersection,Other injury accident,Not known,143.54001,-35.32884,SWAN HILL,NORTHERN REGION,2,2,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,Other Towns
13/06/2011,17.45.00,No,Collision with vehicle,OTHER SAME DIRECTION-MANOUEVRES NOT INCLUDED IN DCAs 130-137,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,50 km/hr,143.54516,-35.33431,SWAN HILL,NORTHERN REGION,2,1,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,Yes,0,2,0,1,1,0,Other Towns
18/06/2011,17.10.00,Yes,Vehicle overturned (no collision),OFF CARRIAGEWAY TO RIGHT,No,Dusk/Dawn,Yes,Not at intersection,Fatal accident,100 km/hr,143.27283,-34.86556,SWAN HILL,NORTHERN REGION,7,2,1,1,0,5,5,2,0,6,1,0,0,0,0,0,0,0,0,0,No,1,1,0,1,0,0,Country
18/06/2011,09.00.00,No,Collision with vehicle,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,No,Day,No,Not at intersection,Other injury accident,Not known,143.55969,-35.33915,SWAN HILL,NORTHERN REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
22/06/2011,16.35.00,No,Struck Pedestrian,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,Not known,Day,Not known,Cross intersection,Other injury accident,Not known,143.56155,-35.3462,SWAN HILL,NORTHERN REGION,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,No,0,1,0,1,0,0,Other Towns
13/07/2011,10.30.00,No,Collision with vehicle,RIGHT THROUGH,No,Day,Yes,T intersection,Serious injury accident,100 km/hr,142.76781,-34.6359,SWAN HILL,NORTHERN REGION,3,2,0,1,1,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,Country
13/07/2011,15.20.00,No,Vehicle overturned (no collision),OFF CARRIAGEWAY TO RIGHT,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,143.30412,-34.86922,SWAN HILL,NORTHERN REGION,2,2,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
27/07/2011,19.30.00,Yes,Collision with a fixed object,OFF END OF ROAD/T-INTERSECTION.,No,Dark Street lights on,No,T intersection,Other injury accident,80 km/hr,143.37719,-35.18531,SWAN HILL,NORTHERN REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,No,0,1,0,1,0,0,Country
31/07/2011,15.45.00,No,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,142.80218,-34.61819,SWAN HILL,NORTHERN REGION,8,1,0,1,0,7,7,1,0,5,3,0,0,0,0,0,0,0,0,0,No,0,3,0,3,0,0,Country
5/08/2011,00.50.00,Yes,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,50 km/hr,143.351,-35.1874,SWAN HILL,NORTHERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Yes,0,1,0,1,0,0,Small Towns
4/09/2011,03.45.00,Yes,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,143.25742,-35.46757,SWAN HILL,NORTHERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Yes,0,1,0,1,0,0,Country
9/09/2011,16.35.00,Yes,Collision with vehicle,LEFT FAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,50 km/hr,143.54364,-35.34342,SWAN HILL,NORTHERN REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,No,0,2,0,1,0,0,Other Towns
17/09/2011,15.10.00,Yes,Collision with vehicle,RIGHT THROUGH,No,Day,Yes,Cross intersection,Serious injury accident,60 km/hr,143.56193,-35.34835,SWAN HILL,NORTHERN REGION,4,1,0,1,0,3,2,1,0,2,2,0,0,0,0,0,0,0,1,1,No,0,2,0,2,0,0,Other Towns
23/09/2011,23.30.00,Yes,Struck Pedestrian,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,Yes,Dark Street lights unknown,Yes,Not at intersection,Other injury accident,50 km/hr,143.54237,-35.34138,SWAN HILL,NORTHERN REGION,2,1,0,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Other Towns
23/09/2011,12.30.00,No,Vehicle overturned (no collision),OFF CARRIAGEWAY TO RIGHT,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,143.4902,-35.45248,SWAN HILL,NORTHERN REGION,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
7/10/2011,22.20.00,Yes,Collision with a fixed object,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Other injury accident,100 km/hr,142.84179,-34.67433,SWAN HILL,NORTHERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Country
16/10/2011,19.30.00,Yes,Vehicle overturned (no collision),OFF CARRIAGEWAY TO RIGHT,No,Dusk/Dawn,No,Not at intersection,Other injury accident,100 km/hr,143.39657,-35.57196,SWAN HILL,NORTHERN REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
29/10/2011,15.00.00,Yes,No collision and no object struck,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),No,Day,No,Not at intersection,Other injury accident,100 km/hr,142.62689,-34.79709,SWAN HILL,NORTHERN REGION,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Country
10/11/2011,12.50.00,No,Struck Pedestrian,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Cross intersection,Serious injury accident,50 km/hr,143.56067,-35.34281,SWAN HILL,NORTHERN REGION,2,1,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,No,0,1,0,1,0,0,Other Towns
13/11/2011,13.40.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Serious injury accident,50 km/hr,143.55841,-35.33498,SWAN HILL,NORTHERN REGION,3,2,0,1,1,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
30/11/2011,10.25.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Serious injury accident,50 km/hr,143.5551,-35.33927,SWAN HILL,NORTHERN REGION,3,1,0,1,0,2,0,3,0,1,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Other Towns
5/12/2011,18.20.00,Yes,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,143.33277,-35.08775,SWAN HILL,NORTHERN REGION,4,3,0,2,1,1,2,1,0,3,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
20/12/2011,10.55.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,No,Cross intersection,Serious injury accident,50 km/hr,143.55575,-35.34654,SWAN HILL,NORTHERN REGION,2,1,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
20/12/2011,13.20.00,No,Collision with vehicle,PULLING OUT (OVERTAKING),No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,143.52764,-35.47807,SWAN HILL,NORTHERN REGION,3,2,0,0,2,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,Country
31/12/2011,08.40.00,No,Collision with vehicle,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Serious injury accident,60 km/hr,143.55669,-35.33928,SWAN HILL,NORTHERN REGION,2,1,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Other Towns
31/12/2011,14.00.00,Yes,Collision with vehicle,HEAD ON (NOT OVERTAKING),No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,143.59766,-35.4196,SWAN HILL,NORTHERN REGION,3,1,0,0,1,2,1,2,0,1,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Country
5/01/2012,03.30.00,Yes,Collision with a fixed object,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Fatal accident,100 km/hr,142.83276,-34.66141,SWAN HILL,NORTHERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
19/02/2012,13.33.00,No,Collision with a fixed object,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,143.38747,-35.25751,SWAN HILL,NORTHERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,Country
29/02/2012,14.00.00,No,No collision and no object struck,OFF CARRIAGEWAY TO LEFT,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,142.92348,-35.19154,SWAN HILL,NORTHERN REGION,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
5/03/2012,22.30.00,Yes,Vehicle overturned (no collision),OFF CARRIAGEWAY TO RIGHT,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,142.88344,-35.08694,SWAN HILL,NORTHERN REGION,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Country
14/03/2012,17.39.00,No,Collision with a fixed object,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,143.66119,-35.46891,SWAN HILL,NORTHERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Country
17/03/2012,16.15.00,Yes,Collision with vehicle,RIGHT REAR.,No,Day,Yes,Not at intersection,Serious injury accident,80 km/hr,143.65449,-35.46668,SWAN HILL,NORTHERN REGION,2,1,0,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Country
