ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,LONGITUDE,LATITUDE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME
1/07/2010,11.53.00,No,Collision with vehicle,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,No,Day,Yes,Not at intersection,Other injury accident,70 km/hr,144.69766,-37.84954,WYNDHAM,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,No,0,2,0,1,0,0,Metropolitan Excluding CBD
1/07/2010,16.15.00,No,Collision with vehicle,RIGHT REAR.,No,Day,No,T intersection,Other injury accident,60 km/hr,144.663,-37.89832,WYNDHAM,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,2,No,0,2,0,2,0,0,Metropolitan Excluding CBD
4/07/2010,12.00.00,No,Collision with vehicle,RIGHT THROUGH,No,Day,Yes,T intersection,Serious injury accident,70 km/hr,144.6373,-37.89599,WYNDHAM,METROPOLITAN NORTH WEST REGION,3,1,0,1,0,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Metropolitan Excluding CBD
5/07/2010,13.45.00,No,Collision with vehicle,LEFT NEAR (INTERSECTIONS ONLY),Yes,Day,Yes,T intersection,Other injury accident,70 km/hr,144.66529,-37.87074,WYNDHAM,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,No,0,2,0,1,0,0,Metropolitan Excluding CBD
5/07/2010,14.38.00,No,Collision with vehicle,RIGHT THROUGH,No,Day,Yes,T intersection,Other injury accident,70 km/hr,144.7285,-37.87043,WYNDHAM,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Metropolitan Excluding CBD
7/07/2010,09.20.00,No,Collision with vehicle,RIGHT NEAR (INTERSECTIONS ONLY),No,Unk.,No,T intersection,Other injury accident,60 km/hr,144.7025,-37.87252,WYNDHAM,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,1,2,0,1,0,0,Metropolitan Excluding CBD
10/07/2010,12.05.00,No,Collision with vehicle,RIGHT REAR.,Yes,Day,Yes,Cross intersection,Other injury accident,70 km/hr,144.66702,-37.86088,WYNDHAM,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,No,1,2,0,1,1,0,Metropolitan Excluding CBD
11/07/2010,22.10.00,Yes,Collision with vehicle,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,70 km/hr,144.68307,-37.86262,WYNDHAM,METROPOLITAN NORTH WEST REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Metropolitan Excluding CBD
12/07/2010,22.00.00,Yes,Struck Pedestrian,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,Yes,Dark Street lights on,Yes,Cross intersection,Other injury accident,50 km/hr,144.68967,-37.84105,WYNDHAM,METROPOLITAN NORTH WEST REGION,2,2,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Metropolitan Excluding CBD
14/07/2010,07.45.00,No,Collision with vehicle,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Serious injury accident,80 km/hr,144.63279,-37.90993,WYNDHAM,METROPOLITAN NORTH WEST REGION,2,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,Metropolitan Excluding CBD
