lga,amount,hit_run,total_persons,fatality,injury,males,females,old_driver,young_driver,alcohol_related
ALPINE,56,3,83,3,64,63,19,6,3,0
ARARAT,24,1,59,0,34,30,28,1,4,0
BALLARAT,251,18,608,4,322,297,293,18,104,12
BANYULE,203,13,515,3,266,257,235,21,73,4
BASS COAST,70,7,171,2,99,97,60,10,20,4
BAW BAW,177,3,346,6,213,228,116,10,53,7
BAYSIDE,210,8,514,6,240,286,210,33,61,4
BENALLA,45,1,93,4,62,54,38,3,11,3
BOROONDARA,370,18,839,6,424,478,323,32,90,6
BRIMBANK,506,41,1244,5,601,721,461,25,162,25
BULOKE,19,1,43,4,33,27,15,0,3,2
CAMPASPE,83,3,182,4,116,97,82,10,28,6
CARDINIA,199,8,405,1,246,220,170,10,69,7
CASEY,495,22,1362,8,638,694,627,19,213,18
CENTRAL GOLDFIELDS,28,1,59,4,37,38,20,5,7,1
COLAC OTWAY,74,0,163,0,102,104,56,5,14,1
CORANGAMITE,47,0,89,8,70,51,38,5,14,4
DAREBIN,373,23,925,2,446,508,381,24,110,9
EAST GIPPSLAND,129,1,266,3,181,135,130,9,26,6
FALLS CREEK ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
FRANKSTON,239,15,583,0,298,311,251,15,96,16
GANNAWARRA,31,1,55,2,37,40,15,4,3,2
GLEN EIRA,296,9,740,1,352,356,358,39,95,4
GLENELG,48,0,88,0,59,55,32,2,9,4
GOLDEN PLAINS,55,1,115,3,85,64,51,6,18,4
GREATER BENDIGO,0,0,0,0,0,0,0,0,0,0
GREATER DANDENONG,0,0,0,0,0,0,0,0,0,0
GREATER GEELONG,0,0,0,0,0,0,0,0,0,0
GREATER SHEPPARTON,0,0,0,0,0,0,0,0,0,0
HEPBURN,49,1,87,1,66,52,35,6,10,5
HINDMARSH,11,0,24,0,15,14,10,2,0,0
HOBSONS BAY,187,9,470,3,236,269,181,8,67,5
HORSHAM,44,2,93,3,54,45,47,1,18,3
HUME,415,29,1056,6,510,585,405,11,165,11
INDIGO,42,1,69,1,49,39,28,2,7,0
KINGSTON,352,18,908,6,438,499,374,33,100,5
KNOX,279,18,710,5,358,387,298,21,105,7
LAKE MOUNTAIN ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
LATROBE,174,11,398,7,214,224,156,10,51,11
LODDON,30,1,49,0,36,30,19,1,5,1
MACEDON RANGES,98,2,184,2,125,109,72,7,18,3
MANNINGHAM,143,6,328,0,175,160,160,8,56,2
MANSFIELD,81,0,123,3,105,90,31,1,5,1
MARIBYRNONG,228,21,556,4,262,308,213,6,67,4
MAROONDAH,208,7,487,0,257,249,222,12,70,8
MELBOURNE,854,70,2095,2,966,1229,746,13,203,10
MELTON,193,15,475,7,259,257,200,6,66,6
MILDURA,119,3,312,6,185,174,132,10,36,11
MITCHELL,124,3,252,5,154,143,102,7,32,5
MOIRA,77,2,159,3,97,107,49,10,29,6
MONASH,400,18,1023,4,492,537,440,29,134,4
MOONEE VALLEY,242,20,581,3,296,302,251,15,74,4
MOORABOOL,106,3,209,5,127,139,65,2,25,6
MORELAND,425,26,994,2,495,593,354,26,112,10
MORNINGTON PENINSULA,281,8,630,3,357,338,284,32,97,14
MOUNT ALEXANDER,39,2,64,2,45,45,18,3,8,1
MOUNT BAW BAW ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOUNT BULLER ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOUNT HOTHAM ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOYNE,45,0,110,2,74,56,53,4,17,6
MURRINDINDI,108,3,194,4,135,135,46,2,17,6
NILLUMBIK,116,3,225,0,143,134,85,4,35,7
NORTHERN GRAMPIANS,32,0,52,5,32,38,13,4,4,1
PORT PHILLIP,295,24,709,3,328,395,265,10,64,5
PYRENEES,38,0,72,3,51,48,23,3,8,4
QUEENSCLIFFE,3,1,7,0,4,2,4,0,0,1
SOUTH GIPPSLAND,93,4,197,5,125,104,86,5,33,6
SOUTHERN GRAMPIANS,31,1,66,0,38,33,32,4,12,1
STONNINGTON,300,13,712,1,351,389,285,16,73,9
STRATHBOGIE,47,0,92,3,63,55,37,5,9,1
SURF COAST,78,3,179,2,104,108,66,4,15,2
SWAN HILL,29,2,62,2,36,37,23,3,11,1
TOWONG,25,0,40,0,33,26,14,0,3,1
WANGARATTA,70,1,130,1,90,74,54,8,19,4
WARRNAMBOOL,44,2,140,2,66,63,74,7,18,1
WELLINGTON,145,7,271,6,193,166,98,5,32,9
WEST WIMMERA,10,0,17,1,11,12,5,1,1,0
WHITEHORSE,243,12,671,2,315,352,295,30,83,4
WHITTLESEA,319,16,794,3,400,439,319,13,126,15
WODONGA,67,2,159,3,87,71,81,5,22,0
WYNDHAM,294,19,756,4,384,439,278,11,111,7
YARRA,322,31,713,1,350,385,273,6,52,6
YARRA RANGES,385,17,853,8,492,479,352,23,109,10
YARRIAMBIACK,6,0,10,1,7,3,7,2,1,2
