lga,amount,hit_run,total_persons,fatality,injury,males,females,old_driver,young_driver,alcohol_related
ALPINE,292,12,529,7,344,355,162,23,30,12
ARARAT,158,3,352,9,214,208,139,9,39,4
BALLARAT,1326,78,3414,21,1769,1634,1641,114,532,68
BANYULE,1097,60,2717,13,1361,1405,1208,102,371,25
BASS COAST,397,19,1000,11,555,540,419,37,130,15
BAW BAW,928,11,1808,31,1153,1104,663,41,266,28
BAYSIDE,1049,40,2517,18,1276,1369,1061,140,257,27
BENALLA,223,2,577,14,302,333,230,17,67,12
BOROONDARA,1961,77,4522,15,2258,2413,1926,156,551,49
BRIMBANK,2479,206,6417,32,3123,3597,2452,108,859,94
BULOKE,94,3,169,11,127,100,66,6,19,9
CAMPASPE,461,8,1053,26,630,593,433,38,159,25
CARDINIA,1132,40,2466,36,1450,1347,1031,61,402,46
CASEY,2919,145,7827,35,3818,4037,3482,135,1229,125
CENTRAL GOLDFIELDS,152,3,297,13,188,174,117,17,41,11
COLAC OTWAY,432,4,999,18,603,591,388,22,118,13
CORANGAMITE,252,5,593,24,373,362,217,19,75,12
DAREBIN,1897,126,4778,15,2323,2627,1894,117,560,39
EAST GIPPSLAND,781,25,1573,35,1046,929,608,60,190,42
FALLS CREEK ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
FRANKSTON,1382,85,3420,16,1770,1799,1471,108,505,76
GANNAWARRA,147,3,277,9,183,189,84,12,39,11
GLEN EIRA,1597,80,3943,7,1911,2111,1682,172,459,35
GLENELG,272,4,519,12,345,326,180,17,69,15
GOLDEN PLAINS,272,6,544,10,391,325,213,14,78,21
GREATER BENDIGO,0,0,0,0,0,0,0,0,0,0
GREATER DANDENONG,0,0,0,0,0,0,0,0,0,0
GREATER GEELONG,0,0,0,0,0,0,0,0,0,0
GREATER SHEPPARTON,0,0,0,0,0,0,0,0,0,0
HEPBURN,254,5,469,11,322,275,185,16,47,16
HINDMARSH,72,0,165,4,107,105,59,5,13,7
HOBSONS BAY,1019,63,2568,7,1260,1455,986,55,298,28
HORSHAM,269,7,631,14,370,339,284,23,104,17
HUME,2220,135,5833,32,2879,3249,2278,52,923,55
INDIGO,235,2,459,13,308,233,197,9,60,3
KINGSTON,1809,82,4674,24,2303,2534,1984,172,572,59
KNOX,1518,71,3959,17,1935,2095,1736,107,597,53
LAKE MOUNTAIN ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
LATROBE,896,42,2102,26,1191,1155,879,61,305,53
LODDON,163,1,313,5,231,195,117,13,37,9
MACEDON RANGES,549,14,1116,22,711,658,422,25,165,18
MANNINGHAM,893,33,2137,6,1112,1103,971,85,300,27
MANSFIELD,326,1,506,9,399,372,127,4,38,12
MARIBYRNONG,1078,69,2672,13,1253,1448,1062,39,298,26
MAROONDAH,1202,60,3041,14,1517,1576,1346,90,466,47
MELBOURNE,4622,346,11460,24,5261,6682,4027,94,1076,68
MELTON,1104,67,2768,32,1451,1552,1111,33,391,34
MILDURA,595,19,1482,17,831,819,611,52,169,47
MITCHELL,670,18,1284,27,826,786,472,29,188,34
MOIRA,334,8,734,25,460,452,266,29,104,28
MONASH,2134,99,5489,21,2628,2954,2304,154,737,48
MOONEE VALLEY,1219,85,3009,12,1475,1607,1255,75,409,27
MOORABOOL,501,11,1019,23,654,640,353,17,144,29
MORELAND,2243,169,5461,19,2640,3111,2030,149,654,36
MORNINGTON PENINSULA,1606,72,3856,39,2062,2045,1688,196,525,70
MOUNT ALEXANDER,267,7,519,12,325,309,203,21,65,10
MOUNT BAW BAW ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOUNT BULLER ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOUNT HOTHAM ALPINE RESORT (UNINC),0,0,0,0,0,0,0,0,0,0
MOYNE,258,2,531,12,361,291,225,17,85,19
MURRINDINDI,560,5,928,24,682,655,250,14,84,21
NILLUMBIK,655,21,1357,10,817,781,534,27,221,29
NORTHERN GRAMPIANS,190,1,408,13,260,241,156,20,55,5
PORT PHILLIP,1572,127,3680,8,1785,2099,1349,63,338,30
PYRENEES,170,1,302,10,222,186,108,5,37,13
QUEENSCLIFFE,10,1,20,1,11,10,9,1,2,2
SOUTH GIPPSLAND,501,12,1011,22,639,567,428,29,180,25
SOUTHERN GRAMPIANS,201,6,404,15,259,224,174,19,51,7
STONNINGTON,1689,99,4023,10,1950,2201,1597,108,461,40
STRATHBOGIE,256,1,510,16,330,317,184,17,59,16
SURF COAST,437,9,997,20,572,584,391,21,126,19
SWAN HILL,210,6,485,11,270,276,195,24,55,19
TOWONG,155,0,252,3,195,172,76,2,20,4
WANGARATTA,351,11,744,19,456,423,307,28,85,21
WARRNAMBOOL,292,10,749,6,369,372,365,38,103,20
WELLINGTON,745,22,1496,27,963,940,511,31,188,42
WEST WIMMERA,61,1,100,6,74,65,35,6,17,3
WHITEHORSE,1466,56,3863,19,1825,1983,1740,147,525,28
WHITTLESEA,1790,102,4631,25,2281,2572,1877,84,681,55
WODONGA,321,11,766,8,414,406,333,25,114,1
WYNDHAM,1586,96,4075,34,2042,2286,1581,44,575,60
YARRA,1751,144,3899,9,1920,2198,1438,38,307,27
YARRA RANGES,2137,69,4600,42,2708,2617,1841,108,689,81
YARRIAMBIACK,53,0,94,1,68,52,41,7,15,5
